2025-09-16 16:26:34.783 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-09-16 16:26:34.804 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-09-16 16:26:34.814 [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 3.215 seconds (process running for 5.074)
2025-09-16 16:26:34.817 [main] INFO  com.example.demo.DemoApplication - SuccessOpenApplication!!!
2025-09-16 16:27:41.333 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-09-16 16:27:41.344 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-09-16 16:27:44.339 [main] INFO  com.example.demo.DemoApplication - startApplication!!!
2025-09-16 16:27:44.764 [main] INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 21.0.6 with PID 53516 (C:\Users\iit\Desktop\project\demo\out\production\classes started by iit in C:\Users\iit\Desktop\project\demo)
2025-09-16 16:27:44.767 [main] DEBUG com.example.demo.DemoApplication - Running with Spring Boot v3.5.5, Spring v6.2.10
2025-09-16 16:27:44.768 [main] INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2025-09-16 16:27:45.426 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.example.demo]' package. Please check your configuration.
2025-09-16 16:27:45.670 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-09-16 16:27:45.683 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-09-16 16:27:45.684 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-09-16 16:27:45.686 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
